id,text,label,category,risk_score_expected,language_style,platform,has_url,has_phone,has_bank,has_otp,has_money,has_urgency,has_reward,has_job,text_length,noise_type,expected_reason
928,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้ ‼️⚠️,suspicious,phishing_risk,0.45,casual,IG DM,0,0,0,0,0,1,0,0,47,emoji,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
929,หอพักแถวเชียงรากเดือนละไม่เกิน 4500 มีแนะนำไหม ASAP,normal,tu_general,0.2,formal,TU Marketplace,0,0,0,0,0,0,0,0,51,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
930,Your account has been suspended verify now example.invalid/verify now,scam,phishing,0.83,thai_english_mix,SMS,1,0,0,1,0,1,0,0,69,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
931,เจ้าหน้าที่มหาลัยขอ username password เพื่อตรวจสอบสถานะ 💸🔥,scam,impersonation,0.89,slang,Facebook Group,0,0,0,0,0,0,0,0,58,emoji,
932,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน 🙏🚨 ส่งในกลุ่มได้เลย,suspicious,job_risk,0.48,casual,SMS,0,0,0,0,1,0,0,1,69,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
933,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 60 บาท มีสัมภาษณ์หน้าร้าน verify pls,normal,tu_job_real,0.24,short_message,LINE,0,0,0,1,1,0,0,1,76,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
934,ขายหนังสือ CS332 มือสอง นัดรับ BRT ได้ 🙏📌,normal,tu_marketplace,0.04,emoji,TU Marketplace,0,0,0,0,0,0,0,0,41,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
935, อ้างว่าเป็นรุ่นพี่คณะ  ขอให้โอนเงินช่วยจองสิทธิ์  ทัก DM,suspicious,tu_scam_risk,0.7,emoji,Email,0,0,0,0,1,0,0,0,57,spacing_noise,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
936,หอพักแถวเชียงรากเดือนละไม่เกิน 4000 มีแนะนำไหม ทัก DM,normal,tu_general,0.05,emoji,Facebook Group,0,0,0,0,0,0,0,0,53,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
937,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ bit.ly/example_fake ‼️,scam,phishing,0.88,slang,Web Form,1,0,1,1,0,1,0,0,64,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
938,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ‼️✨,suspicious,marketplace_risk,0.54,thai_english_mix,X/Twitter,0,0,0,0,1,0,0,0,44,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
939,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้ verify pls inbox ได้,suspicious,phishing_risk,0.61,emoji,X/Twitter,0,0,0,1,0,1,0,0,63,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
940,หอพักแถวเชียงรากเดือนละไม่เกิน 4000 มีแนะนำไหม 🚨,normal,tu_general,0.29,slang,TU Marketplace,0,0,0,0,0,0,0,0,48,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
941,ทักไลน์อย่างเดียวครับ ไม่ค่อยตอบในกลุ่ม ✨🔥,suspicious,marketplace_risk,0.56,casual,SMS,0,0,0,0,0,0,0,0,42,emoji,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
942,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองงสิทธิ์ line: @fakeid,suspicious,tu_scam_risk,0.56,slang,Web Form,0,0,0,0,1,0,0,0,62,repeat_chars,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
943,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ ‼️🔥,suspicious,phishing_risk,0.46,emoji,IG DM,1,0,0,0,0,0,0,0,52,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
944,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ xxx-x-xxxxx-x ภายในวันนี้ line: @fakeid,scam,tu_scam,0.94,thai_english_mix,X/Twitter,0,0,1,0,1,1,0,0,75,none,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
945,รีบโอนก่อนนะ เหลือคนเดียวแล้ว ⚠️🥺,suspicious,marketplace_risk,0.7,formal,IG DM,0,0,0,0,1,1,0,0,33,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
946,เจ้าหน้าที่มหาลัยขอ username password เพื่อตรวจสอบสถานะ 🙏,scam,impersonation,0.94,casual,Discord,0,0,0,0,0,0,0,0,57,emoji,
947,รุ่นพี่ฝากบอกให้โอนค่าชีทด่วน ไม่งั้นหมดสิทธิ์ 😅✅,scam,tu_scam,0.81,formal,SMS,0,0,0,0,1,1,0,0,49,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
948,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 300 บาทก่อนรับทุน 🔥✨,scam,fake_scholarship,0.81,short_message,Discord,0,0,0,0,1,0,1,0,60,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
949,กรุณายืนยัน OTP เพื่อปลดล็อกบัญชีทันที verify pls,scam,otp,0.94,thai_english_mix,Facebook Group,0,0,1,1,0,1,0,0,49,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีคำเร่งเร้า
950,มีใครขายชีท EL171 บ้างครับ ส่งในกลุ่มได้เลย,normal,tu_general,0.19,short_message,Web Form,0,0,0,0,0,0,0,0,43,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
951,ของถูกมาก แต่ต้องจองภายในวันนี้ ทัก DM,suspicious,marketplace_risk,0.75,thai_english_mix,Email,0,0,0,0,0,1,0,0,38,repeat_chars,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
952,มีใครขายชีท  MA211  บ้างครับ,normal,tu_general,0.28,formal,TU Marketplace,0,0,0,0,0,0,0,0,28,spacing_noise,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
953,โอนมัดจำค่าหอ 100 บาทได้ไหมครับ ‼️✨,normal,tu_marketplace,0.07,casual,Discord,0,0,0,0,1,0,0,0,35,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
954,สมัครงาน part-time online จ่ายค่าสมัครก่อน 500 แล้วเริ่มงานได้เลย ok?,scam,job_scam,0.87,emoji,Web Form,0,0,0,0,0,0,0,1,69,thai_english_mix,มีบริบทสมัครงาน/รายได้
955,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์ 🥺🚨,suspicious,tu_scam_risk,0.72,formal,Email,0,0,0,0,1,0,0,0,50,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
956,มีลิงก์ Google Meet สำหรับประชุมไหมครับ 🔥⚠️,normal,meeting,0.28,thai_english_mix,IG DM,1,0,0,0,0,0,0,0,43,emoji,มีลิงก์หรือการชวนคลิกลิงก์; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
957,โอนเต็มก่อนเท่านั้น ไม่รับนัด ไม่รับวิดีโอคอล 🙏📌,scam,marketplace_scam,0.98,thai_english_mix,Email,0,0,0,0,1,0,0,0,48,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
958,โปรไฟล์ใหม่มาก แต่บอกว่าเป็นเจ้าหน้าที่มหาลัย 💸✨,suspicious,impersonation_risk,0.7,emoji,Discord,0,0,0,0,0,0,0,0,48,emoji,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
959,มีใครขายชีท EL171 บ้างครับ ‼️💸,normal,tu_general,0.1,slang,Web Form,0,0,0,0,0,0,0,0,30,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
960,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้ 👍‼️,scam,tu_scam,0.84,thai_english_mix,Discord,0,1,1,0,1,1,0,0,74,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
961,ส่งรหัส OTP มาให้แอดมินเพื่อยืนยันตัวตนก่อนรับเงินคืน 📌👍,scam,otp,0.96,casual,Email,0,0,0,1,1,0,1,0,56,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
962,มีใครขายชีท CS251 บ้างครับ 🙏🔥 inbox ได้,normal,tu_general,0.25,short_message,LINE,0,0,0,0,0,0,0,0,39,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
963,โอนมัดจำค่าหอ 300 บาทได้ไหมครับ ✨ line: @fakeid,normal,tu_marketplace,0.15,emoji,Web Form,0,0,0,0,1,0,0,0,47,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
964,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้ ✅ inbox ได้,scam,tu_scam,0.84,casual,Web Form,0,1,1,0,1,1,0,0,82,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
965,รุ่นพี่ฝากบอกให้โอนนค่าชีทด่วน ไม่งั้นหมดสิทธิ์,scam,tu_scam,0.86,slang,LINE,0,0,0,0,1,1,0,0,47,typo,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
966," งานออนไลน์ได้เงินวันละ  10,000  ไม่ต้องสัมภาษณ์  สมัครด่วน  line: @fakeid",scam,job_scam,0.8,casual,Facebook Group,0,0,0,0,1,1,0,1,74,spacing_noise,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้
967,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ⚠️👍,suspicious,marketplace_risk,0.53,emoji,Facebook Group,0,0,0,0,1,0,0,0,44,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
968,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ forms.example.invalid/fake DM me,scam,phishing,0.91,thai_english_mix,Discord,1,0,1,1,0,1,0,0,74,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
969,ราคาถูกกว่าปกติมาก แต่ไม่ให้วิดีโอคอลดูของ ASAP,suspicious,marketplace_risk,0.58,emoji,Email,0,0,0,0,0,0,0,0,47,thai_english_mix,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
970,คลิกลิงก์นี้เพื่อยืนยันบัญชีนักศึกษา forms.example.invalid/fake ‼️👍 inbox ได้,scam,phishing,0.95,casual,LINE,1,0,1,0,0,0,0,0,77,emoji,มีลิงก์หรือการชวนคลิกลิงก์
971,หอพักแถวเชียงรากเดือนละไม่เกิน 5000 มีแนะะะนำไหม,normal,tu_general,0.04,thai_english_mix,Discord,0,0,0,0,0,0,0,0,48,repeat_chars,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
972,รหัสยืนยันถูกส่งไปแล้ว กรุณาแจ้งรหัสภายใน 5 นาที 💸,scam,otp,0.87,emoji,Email,0,0,0,1,0,1,0,0,50,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีคำเร่งเร้า
973,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน 🥺🔥,suspicious,job_risk,0.53,emoji,Discord,0,0,0,0,1,0,0,1,52,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
974,พัสดุติดปัญหา ชำระค่าธรรมเนียมที่ example.invalid/verify เพื่อรับของ verify pls,scam,delivery_scam,0.91,formal,IG DM,1,0,0,1,0,0,0,0,79,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์
975,สมัครงาน part-time online จ่ายค่าสมัครก่อน 300 แล้วเริ่มงานได้เลย 👍✅,scam,job_scam,0.84,slang,TU Marketplace,0,0,0,0,0,0,0,1,68,emoji,มีบริบทสมัครงาน/รายได้
976,ระบบ TU แจ้งเตือน ให้ update password ผ่าน example.invalid/verify ด่วน ASAP,scam,phishing,0.89,thai_english_mix,SMS,1,0,0,1,0,1,0,0,75,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
977,หอพักแถวเชียงรากเดือนละไม่เกิน 5000 มีแนะนำไหม inbox ได้,normal,tu_general,0.18,casual,SMS,0,0,0,0,0,0,0,0,56,typo,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
978,นัดรับหน้า คณะวิทย์ ได้ครับบบ สะดวกช่วงเย็น,normal,tu_marketplace,0.25,formal,Discord,0,0,0,0,0,0,0,0,43,repeat_chars,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
979,มีใครขายชีท EL171 บ้างครับ 🔥🙏,normal,tu_general,0.02,casual,X/Twitter,0,0,0,0,0,0,0,0,29,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
980,บอกว่ามีทุนพิเศษแต่ต้องรีบกรอกข้อมูล 🔥✅,suspicious,tu_scam_risk,0.47,emoji,Discord,0,0,0,0,1,1,1,0,39,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
981,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน 😅‼️,suspicious,job_risk,0.52,emoji,Discord,0,0,0,0,1,0,0,1,53,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
982,บอกว่ามีทุนพิเศษแต่ต้องรีบกรอกข้อมูล 🔥🥺,suspicious,tu_scam_risk,0.56,casual,TU Marketplace,0,0,0,0,1,1,1,0,39,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
983,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม ทัก DM,suspicious,otp_risk,0.73,short_message,IG DM,0,0,0,1,0,0,0,0,45,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
984,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ 🥺🚨,suspicious,phishing_risk,0.49,formal,Discord,1,0,0,0,0,0,0,0,51,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
985,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 500 บาทก่อนรับทุน 🚨 ส่งในกลุ่มได้เลย,scam,fake_scholarship,0.84,formal,LINE,0,0,0,0,1,0,1,0,76,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
986,คลิกลิงก์นี้เพื่อยืนยันบัญชีนักศึกษา [URL] 🙏,scam,phishing,0.99,slang,SMS,1,0,1,0,0,0,0,0,44,emoji,มีลิงก์หรือการชวนคลิกลิงก์
987,ส่งเลขบัญชีมา เดี๋ยวโอนค่าหนังสือให้ครับ DM me ทัก DM,normal,tu_marketplace,0.28,formal,Discord,0,0,1,0,1,0,0,0,53,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
988,ของถูกมาก แต่ต้องจองภายในวันนี้,suspicious,marketplace_risk,0.73,short_message,X/Twitter,0,0,0,0,0,1,0,0,31,none,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
989,วันนี้ห้องเรียน  อาคารเรียนรวม  เปิดไหมครับ ทัก DM,normal,tu_general,0.22,short_message,Discord,0,0,0,0,0,0,0,0,50,spacing_noise,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
990,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์ 🚨🔥,suspicious,tu_scam_risk,0.48,casual,IG DM,0,0,0,0,1,0,0,0,50,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
991,หอพักแถวเชียงรากเดือนละไม่เกิน 3500 มีแนะนำไหม line: @fakeid,normal,tu_general,0.19,casual,LINE,0,0,0,0,0,0,0,0,60,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
992,มีลิงก์ Google Meet สำหรับประชุมไหมครับ 🚨😅,normal,meeting,0.26,emoji,SMS,1,0,0,0,0,0,0,0,42,emoji,มีลิงก์หรือการชวนคลิกลิงก์; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
993,มีใครขายชีท CS222 บ้างครับ 👍🔥,normal,tu_general,0.1,slang,IG DM,0,0,0,0,0,0,0,0,29,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
994,ขอโอนเต็มก่อน เดี๋ยวส่งเลขพัสดุให้ ทัก DM,suspicious,marketplace_risk,0.6,formal,LINE,0,0,0,0,1,0,0,0,41,none,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
995,แอดมินคณะขอค่าจองสิทธิ์สอบ  โอนมาที่  พร้อมเพย์  08x-xxx-xxxx  ภายในวันนี้,scam,tu_scam,0.88,casual,Facebook Group,0,1,1,0,1,1,0,0,74,spacing_noise,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
996,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 80 บาท มีสัมภาษณ์หน้าร้าน DM me,normal,tu_job_real,0.09,slang,Email,0,0,0,0,1,0,0,1,71,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
997,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน ⚠️🔥,suspicious,job_risk,0.7,slang,Facebook Group,0,0,0,0,1,0,0,1,53,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
998,วันนี้ห้องเรียน คณะวิทย์ เปิดไหมครับ DM me,normal,tu_general,0.15,casual,TU Marketplace,0,0,0,0,0,0,0,0,42,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
999,นัดรับหน้า ประตูเชียงราก ได้ครับ สะดวกช่วงเย็น now,normal,tu_marketplace,0.15,formal,SMS,0,0,0,0,0,1,0,0,50,thai_english_mix,มีคำเร่งเร้า; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1000,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 300 บาทก่อนรับทุน ทัก DM,scam,fake_scholarship,0.87,short_message,Discord,0,0,0,0,1,0,1,0,64,repeat_chars,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1001,ขอแนวข้อสอบ CS222 หน่อยครับ 💬🔥,normal,tu_general,0.17,short_message,Facebook Group,0,0,0,0,0,0,0,0,30,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1002,โอนมัดจำค่าหอ 1500 บาทได้ไหมครับ 🙏😅 ส่งในกลุ่มได้เลย,normal,tu_marketplace,0.12,short_message,IG DM,0,0,0,0,1,0,0,0,52,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1003,คลิกลิงก์นี้เพื่อยืนยันบัญชีนักศึกษา tu-form.example.invalid DM me line: @fakeid,scam,phishing,0.96,casual,X/Twitter,1,0,1,0,0,0,0,0,80,thai_english_mix,มีลิงก์หรือการชวนคลิกลิงก์
1004,ส่งรหัส OTP มาให้แอดมินเพื่อยืนยันตัวตนก่อนรับเงินคืน ทัก DM,scam,otp,0.89,short_message,Email,0,0,0,1,1,0,1,0,60,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1005,ไม่สะดวกนัดรับ ขอส่งอย่างเดียว โอนก่อนส่งนะะะ ทัก DM,suspicious,marketplace_risk,0.7,thai_english_mix,Web Form,0,0,0,0,1,0,0,0,52,repeat_chars,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
1006,รับซื้อเครื่องคิดเลขมือสอง ขอราคาไม่แรง 😅💸,normal,tu_marketplace,0.27,slang,Facebook Group,0,0,0,0,0,0,0,0,42,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1007,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ 🔥🚨,suspicious,phishing_risk,0.59,thai_english_mix,LINE,1,0,0,0,0,0,0,0,51,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
1008,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ bit.ly/example_fake ASAP,scam,phishing,0.8,slang,X/Twitter,1,0,1,1,0,1,0,0,66,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
1009,มีใครขายชีท  MA211  บ้างครับ ส่งในกลุ่มได้เลย,normal,tu_general,0.21,casual,IG DM,0,0,0,0,0,0,0,0,45,spacing_noise,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1010,ส่งรหัส OTP มาให้แอดมินเพื่อยืนยันตัวตนก่อนรับเงินคืน ✅📌 ส่งในกลุ่มได้เลย,scam,otp,0.96,slang,Web Form,0,0,0,1,1,0,1,0,73,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1011,โอนเต็มก่อนเท่านั้น ไม่รับนัด ไม่รับวิดีโอคอล 😅💸,scam,marketplace_scam,0.81,thai_english_mix,TU Marketplace,0,0,0,0,1,0,0,0,48,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1012,คลิกลิ้งนี้เพื่อยืนยันบชนักศึกษา forms.example.invalid/fake,scam,phishing,0.97,casual,SMS,1,0,0,0,0,0,0,0,59,typo,มีลิงก์หรือการชวนคลิกลิงก์
1013,อาจารย์ส่ง link zoom ใน classroom แล้วนะ 🥺⚠️,normal,meeting,0.09,emoji,Email,1,0,0,0,0,0,0,0,44,emoji,มีลิงก์หรือการชวนคลิกลิงก์; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1014,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา forms.example.invalid/fake 👍💬,scam,refund_scam,0.93,slang,TU Marketplace,1,0,0,0,1,0,1,0,67,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1015,รับทุนการศึกษาเร่งด่วน กรอกข้อมูลและเลขบัญชีที่ [URL] 🔥🙏 ทัก DM,scam,fake_scholarship,0.85,short_message,IG DM,1,0,1,0,1,1,1,0,63,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
1016,บอกว่ามีทุนพิเศษแต่ต้องรีบกรอกข้อมูล 💸✨,suspicious,tu_scam_risk,0.55,slang,TU Marketplace,0,0,0,0,1,1,1,0,39,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
1017,ใครเจอบัตรนักศึกษาที่ SC3 ทักมาหน่อยครับ 🔥🚨,normal,tu_general,0.24,formal,Web Form,0,0,0,0,0,0,0,0,43,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1018,Your account has been suspended verify now [URL] ✅✨ ส่งในกลุ่มได้เลย,scam,phishing,0.95,emoji,SMS,1,0,0,1,0,1,0,0,68,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
1019,งานออนไลน์ได้เงินวันละ 5000 ไม่ต้องสัมภาษณ์ สมัครด่วน line: @fakeid,scam,job_scam,0.97,short_message,TU Marketplace,0,0,0,0,1,1,0,1,67,none,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้
1020,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้ ✅💬,suspicious,phishing_risk,0.69,emoji,Facebook Group,0,0,0,0,0,1,0,0,45,emoji,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
1021, มีใครขายชีท  CS251  บ้างครับ ,normal,tu_general,0.19,slang,Web Form,0,0,0,0,0,0,0,0,30,spacing_noise,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
1022,นัดรับหน้า คณะวิทย์ ได้ครับ สะดวกช่วงเย็น ส่งในกลุ่มได้เลย,normal,tu_marketplace,0.17,thai_english_mix,Email,0,0,0,0,0,0,0,0,58,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
